Generation,Velocity_X,Velocity_Y,Velocity_Z,Distance_km
0,44.757089,23.151460,-47.288302,434968713.06
0,12.718028,30.423706,-2.689783,267669601.59
0,50.677698,12.840634,-29.442979,217795333.83
1,45.439729,12.860430,-37.011355,187399691.75
1,51.140338,9.205732,-29.998672,103180146.63
2,54.482624,4.713199,-24.686625,79316102.46
3,50.893699,-1.362043,-9.996321,78664286.04
4,52.008284,4.608711,-24.897471,72789176.94
4,55.373289,-2.718927,-12.985954,38972525.91
7,57.598260,-0.943088,-14.061523,28644893.16
9,56.538558,-1.270906,-13.406902,21802593.91
11,58.000423,-2.343234,-11.503983,6209824.92
11,59.115831,-2.634596,-9.918542,6157531.81
13,48.999879,-1.809605,-13.697382,3484000.71
15,50.835248,-2.359660,-11.940125,3084548.06
16,52.886168,-2.319638,-11.807520,2640670.16
17,48.611774,-1.891589,-13.732584,1724521.90
18,47.386558,-1.926518,-13.751510,947819.47
19,58.930806,-2.298466,-11.039801,291715.87
25,56.129024,-2.260365,-11.512036,214550.51
26,56.499492,-2.251319,-11.502547,101538.79
33,52.284936,-2.221231,-12.211003,94483.34
33,55.821177,-2.294216,-11.479856,84504.07
37,52.573452,-2.187424,-12.247544,78746.16
39,48.866083,-1.965149,-13.406880,72564.99
40,51.638383,-2.125465,-12.552576,21396.07
41,51.640346,-2.124938,-12.553853,18764.96
53,57.434354,-2.342145,-11.140657,8574.91
82,51.652064,-2.126764,-12.548219,8405.21
85,51.640102,-2.124858,-12.554990,7000.70
87,57.399572,-2.342239,-11.146436,6309.99
88,51.652507,-2.126473,-12.549873,5790.44
89,51.659887,-2.127978,-12.544593,4478.60
92,51.656963,-2.127366,-12.546660,2475.13
92,51.651858,-2.126696,-12.549069,2413.68
98,51.649324,-2.126132,-12.550748,2191.68
98,51.654967,-2.127069,-12.547645,542.96
